Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-23 17:08:37,false,"Reading - Easy Run","6.44","470","00:41:22","167","189","--","161","169","6:26","5:28","37","43","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:39.01","7","0.0","00:00:00","00:41:22","35","67"
Running,2021-08-21 12:05:05,false,"Reading - Steady State Run","11.27","887","01:24:02","170","185","--","158","168","7:28","6:24","19","24","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:43.67","12","0.0","00:00:00","01:24:02","35","58"
Running,2021-08-19 18:12:25,false,"Reading - Tempo Run","5.36","404","00:37:40","162","187","--","157","167","7:02","5:58","26","29","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:41.54","7","0.0","00:00:00","00:43:38","34","59"
Running,2021-08-18 18:17:17,false,"Reading - Easy Run","4.49","336","00:29:35","165","183","--","160","166","6:35","5:51","27","33","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:24.19","5","0.0","00:00:00","00:29:35","35","65"
Running,2021-08-17 18:54:14,false,"Reading Running","4.84","355","00:34:12","155","180","--","157","167","7:04","5:52","13","18","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:33.70","5","0.0","00:00:00","00:34:12","34","53"
Running,2021-08-14 13:41:28,false,"Reading - Steady State Run","10.27","859","01:16:53","172","187","--","157","164","7:29","6:31","17","23","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:48.68","11","0.0","00:00:00","01:16:53","34","56"
Running,2021-08-12 18:51:50,false,"Reading - Hill Repeats","6.64","494","00:51:16","153","185","--","140","167","7:44","5:26","69","61","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.83","28","0.0","00:00:00","00:51:26","38","64"
Running,2021-08-10 19:59:12,false,"Reading - Goal Pace Repeat","6.89","518","00:50:18","161","177","--","151","164","7:18","5:55","68","64","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:02.22","12","0.0","00:50:17","00:50:18","29","91"
Running,2021-08-09 22:32:45,false,"Reading - Easy Run","4.83","368","00:31:33","168","192","--","158","169","6:32","5:51","4","7","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:58.95","5","0.0","00:31:31","00:31:33","38","45"
Running,2021-08-07 22:30:28,false,"Reading Running","4.84","370","00:32:47","165","186","--","157","169","6:47","6:11","11","12","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:11.43","5","0.0","00:32:46","00:32:47","38","46"
Running,2021-08-05 18:34:41,false,"Appiano Gentile - Tempo Run","7.56","593","00:54:29","166","186","--","154","167","7:12","6:12","42","44","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:59.71","10","0.0","00:54:26","00:54:29","331","351"
Running,2021-08-03 22:34:40,false,"Appiano Gentile - Supersets","2.32","164","00:16:05","152","184","--","153","173","6:55","5:06","9","11","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:06.90","4","0.0","00:16:05","00:16:05","338","347"
Running,2021-08-02 18:49:42,false,"Appiano Gentile - Easy Run","4.83","378","00:32:30","170","187","--","162","171","6:44","5:51","25","28","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:35.63","5","0.0","00:32:28","00:32:30","338","349"
Running,2021-07-31 13:58:35,false,"Appiano Gentile - Steady State Run","3.99","307","00:29:15","162","177","--","158","164","7:20","6:52","24","25","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:01.88","5","0.0","00:29:13","00:30:20","332","348"
Running,2021-07-29 18:45:59,false,"Appiano Gentile - Hill Repeats","5.98","439","00:44:07","156","184","--","141","174","7:22","5:05","39","43","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.23","19","0.0","00:44:04","00:44:07","339","349"
Running,2021-07-29 18:45:59,false,"Appiano Gentile - Hill Repeats","5.98","439","00:44:07","156","184","--","141","174","7:22","5:05","37","39","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.23","19","0.0","00:00:00","00:44:07","338","349"
Running,2021-07-27 18:15:14,false,"Appiano Gentile - Goal Pace Repeat","7.16","541","00:50:44","161","180","--","157","168","7:05","6:16","31","31","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:45.94","12","0.0","00:50:40","00:50:44","331","348"
Running,2021-07-26 18:03:24,false,"Appiano Gentile - Easy Run","4.83","370","00:33:25","161","177","--","161","167","6:55","6:07","21","23","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:43.32","5","0.0","00:33:23","00:33:25","332","347"
Running,2021-07-25 13:50:31,false,"Appiano Gentile Running","4.83","368","00:33:47","162","180","--","161","167","7:00","6:27","20","21","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:48.38","5","0.0","00:33:45","00:33:47","332","348"
Running,2021-07-24 12:34:25,false,"Appiano Gentile - Steady State Run","4.98","389","00:36:32","166","185","--","159","167","7:20","6:15","29","29","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.88","6","0.0","00:36:30","00:38:27","334","349"
Running,2021-07-22 18:12:46,false,"Appiano Gentile - Tempo Run","5.03","412","00:36:58","167","189","--","157","164","7:21","6:47","19","20","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.19","8","0.0","00:36:57","00:36:58","338","346"
Running,2021-07-20 18:54:32,false,"Appiano Gentile - Supersets","3.47","257","00:23:20","160","186","--","159","196","6:44","3:33","12","14","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:22.40","6","0.0","00:23:18","00:24:47","338","346"
Running,2021-07-19 21:09:24,false,"Appiano Gentile - Easy Run","3.70","280","00:25:48","164","178","--","160","164","6:59","6:21","14","14","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:54.42","4","0.0","00:25:48","00:25:48","332","346"
Running,2021-07-17 21:47:45,false,"Appiano Gentile - Steady State Run","8.05","680","01:01:09","170","190","--","158","173","7:36","5:38","39","45","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.51","11","0.0","01:01:05","01:01:09","333","348"
Running,2021-07-15 18:23:34,false,"Appiano Gentile - Hill Repeats","3.62","248","00:24:26","151","176","--","149","175","6:45","4:40","30","35","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.87","11","0.0","00:24:17","00:27:29","339","365"
Running,2021-07-13 20:57:05,false,"Appiano Gentile - Goal Pace Repeat","7.17","558","00:53:43","164","179","--","158","166","7:30","6:34","31","34","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:34.95","12","0.0","00:53:40","00:53:43","332","348"
Running,2021-07-12 21:07:12,false,"Appiano Gentile - Easy Run","3.43","284","00:26:22","166","179","--","154","159","7:41","7:14","11","16","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:14.45","4","0.0","00:26:21","00:26:22","334","347"
Running,2021-07-10 12:44:42,false,"Reading - Steady State Run","6.44","510","00:47:51","155","183","--","157","166","7:26","6:23","28","36","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:37.36","8","0.0","00:47:50","00:47:51","34","61"
